DCNo,素材品番,個数,品名１,品名２,マッチング結果,ソート用,生産能力,サイクルタイム,可動率,込数,所定Ｈ,負荷Ｈ,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
D40,BH012-275,31998,ESH27 RH,,,40,,37.5,0.85,2.0,273,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,K3062-274,0,5SL12 FH,"K,C-E",,40,78.0,38.9,0.85,2.0,273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,K3072-274,30,5SL12 FH,"K,C-F",,40,93.0,32.6,0.85,2.0,273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,K3082-274,40,5SL12 FH,"K,C-G",,40,86.0,35.575,0.85,2.0,273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,K3092-274,600,5SL12 FH,"K,C-H",,40,81.0,37.333333333333336,0.85,2.0,273,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,K3102-274,4,5SL12 FH,"K,C-J",,40,84.0,36.2,0.85,2.0,273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,K3182-274,0,5SL12 FH,"K,C-S",,40,85.0,35.8,0.85,2.0,273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,K9012-274,6,6SBU16 FH,"16K,C",,40,84.0,36.2,0.85,2.0,273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,KB272-274,6720,7SBH17 FH,,,40,82.0,36.93571428571429,0.85,2.0,273,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,L2012-274,459,6SEU12 FH,"L,C",,40,82.0,36.95,0.85,2.0,273,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D40,L2022-274,2,6SEU12 FH,"L,C-A",,40,76.0,39.93333333333333,0.85,2.0,273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
