日,総稼働時間,定時内,残業時間,段替え時間,生産時間,違反時間
1,682.9061201298701,682.9061201298701,0.0,90,592.9061201298701,0
2,916.9250000000001,916.9250000000001,0.0,90,826.9250000000001,0
3,982.9756547619049,960.0,22.975654761904934,90,892.9756547619049,0
4,995.2475,960.0,35.247499999999945,90,905.2475000000001,0
5,954.21,954.21,0.0,120,834.21,0
6,1004.8844047619046,960.0,44.88440476190465,150,854.8844047619046,0
7,945.25,945.25,0.0,90,855.25,0
8,920.5732142857144,920.5732142857144,0.0,90,830.5732142857144,0
9,864.6982142857144,864.6982142857144,0.0,60,804.6982142857144,0
10,898.1619047619047,898.1619047619047,0.0,120,778.1619047619047,0
11,911.7083333333334,911.7083333333334,0.0,90,821.7083333333334,0
12,977.3130952380952,960.0,17.31309523809523,90,887.3130952380952,0
13,984.55,960.0,24.549999999999955,90,894.55,0
14,948.3732142857143,948.3732142857143,0.0,120,828.3732142857143,0
15,938.1482142857144,938.1482142857144,0.0,120,818.1482142857144,0
16,959.6464285714286,959.6464285714286,0.0,90,869.6464285714286,0
17,1017.6424999999999,960.0,57.64249999999993,120,897.6425,0
18,988.1732142857144,960.0,28.17321428571438,120,868.1732142857144,0
19,939.989880952381,939.989880952381,0.0,120,819.989880952381,0
20,759.1982142857144,759.1982142857144,0.0,90,669.1982142857144,0
