run,op,chosen,accepted,best
1,_op_move_to_previous_day,392,392,2
1,_op_optimize_item_pattern,110,43,8
1,_op_eliminate_shortage,191,163,6
1,_op_reduce_setups,1070,807,6
1,_op_push_production_forward,118,116,0
1,_op_fill_valleys,419,419,2
1,_op_balance_workload,655,655,2
1,_op_aggressive_gather,2045,2045,0
2,_op_move_to_previous_day,424,422,2
2,_op_optimize_item_pattern,101,41,3
2,_op_eliminate_shortage,229,21,21
2,_op_reduce_setups,1025,818,4
2,_op_fill_valleys,402,401,1
2,_op_push_production_forward,110,107,2
2,_op_balance_workload,629,629,1
2,_op_aggressive_gather,2080,1964,0
3,_op_move_to_previous_day,411,411,4
3,_op_optimize_item_pattern,104,25,3
3,_op_reduce_setups,1025,780,3
3,_op_fill_valleys,399,399,1
3,_op_push_production_forward,101,92,2
3,_op_eliminate_shortage,216,20,20
3,_op_balance_workload,627,627,4
3,_op_aggressive_gather,2117,2046,0
4,_op_move_to_previous_day,440,440,5
4,_op_optimize_item_pattern,106,36,6
4,_op_eliminate_shortage,222,192,14
4,_op_reduce_setups,1074,814,6
4,_op_fill_valleys,380,380,1
4,_op_push_production_forward,98,93,0
4,_op_balance_workload,585,585,4
4,_op_aggressive_gather,2095,2073,0
5,_op_move_to_previous_day,403,403,1
5,_op_optimize_item_pattern,117,36,5
5,_op_eliminate_shortage,215,17,17
5,_op_reduce_setups,1055,827,11
5,_op_fill_valleys,440,440,2
5,_op_push_production_forward,118,106,0
5,_op_balance_workload,623,623,2
5,_op_aggressive_gather,2029,1994,0
6,_op_move_to_previous_day,388,388,1
6,_op_optimize_item_pattern,96,32,7
6,_op_reduce_setups,1044,785,6
6,_op_push_production_forward,94,94,0
6,_op_fill_valleys,402,402,3
6,_op_eliminate_shortage,216,191,5
6,_op_balance_workload,592,592,14
6,_op_aggressive_gather,2168,2167,0
7,_op_move_to_previous_day,403,403,1
7,_op_optimize_item_pattern,107,47,10
7,_op_eliminate_shortage,177,76,10
7,_op_reduce_setups,1066,848,12
7,_op_fill_valleys,423,423,2
7,_op_push_production_forward,104,92,0
7,_op_balance_workload,617,615,5
7,_op_aggressive_gather,2103,2103,0
8,_op_move_to_previous_day,423,423,4
8,_op_optimize_item_pattern,108,32,4
8,_op_reduce_setups,1025,801,14
8,_op_fill_valleys,417,417,0
8,_op_push_production_forward,95,87,0
8,_op_eliminate_shortage,217,194,12
8,_op_balance_workload,575,575,4
8,_op_aggressive_gather,2140,2109,0
9,_op_move_to_previous_day,414,413,0
9,_op_optimize_item_pattern,90,47,5
9,_op_reduce_setups,1067,874,3
