日,総稼働時間,定時内,残業時間,段替え時間,生産時間,違反時間
1,1006.987196969697,960.0,46.98719696969704,90,916.987196969697,0
2,994.5075,960.0,34.50750000000005,90,904.5075,0
3,1059.9295887445887,960.0,99.92958874458873,90,969.9295887445887,0
4,959.6666666666667,959.6666666666667,0.0,60,899.6666666666667,0
5,1126.5094696969695,960.0,166.50946969696952,90,1036.5094696969697,0
6,1155.1653571428574,960.0,195.16535714285737,120,1035.1653571428574,0
7,1018.1969696969696,960.0,58.19696969696963,90,928.1969696969696,0
8,994.6785714285714,960.0,34.678571428571445,60,934.6785714285714,0
9,1009.5183982683983,960.0,49.5183982683983,120,889.5183982683983,0
10,1122.258392857143,960.0,162.258392857143,120,1002.258392857143,0
11,1125.7821915584416,960.0,165.78219155844158,120,1005.7821915584416,0
12,1083.0,960.0,123.0,90,993.0000000000001,0
13,1080.6969696969695,960.0,120.69696969696952,90,990.6969696969696,0
14,1122.0380952380954,960.0,162.03809523809537,120,1002.0380952380954,0
15,1044.685064935065,960.0,84.68506493506493,90,954.6850649350649,0
16,993.4880952380953,960.0,33.4880952380953,90,903.4880952380953,0
17,1135.7931601731602,960.0,175.79316017316023,90,1045.7931601731602,0
18,1082.1225,960.0,122.12249999999995,150,932.1225000000001,0
19,1045.7237770562772,960.0,85.72377705627719,120,925.7237770562771,0
20,928.0565259740259,928.0565259740259,0.0,120,808.056525974026,0
