日,総稼働時間,定時内,残業時間,段替え時間,生産時間,違反時間
1,607.9802272727272,607.9802272727272,0.0,90,517.9802272727272,0
2,951.0998214285714,951.0998214285714,0.0,90,861.0998214285714,0
3,779.75,779.75,0.0,60,719.75,0
4,959.6464285714286,959.6464285714286,0.0,90,869.6464285714286,0
5,952.035,952.035,0.0,120,832.035,0
6,1001.5330357142858,960.0,41.5330357142858,120,881.5330357142858,0
7,993.5833333333334,960.0,33.58333333333337,90,903.5833333333334,0
8,920.5732142857144,920.5732142857144,0.0,90,830.5732142857144,0
9,930.3895833333333,930.3895833333333,0.0,90,840.3895833333333,0
10,1001.5330357142858,960.0,41.5330357142858,120,881.5330357142858,0
11,911.7083333333334,911.7083333333334,0.0,90,821.7083333333334,0
12,1022.1464285714286,960.0,62.1464285714286,90,932.1464285714286,0
13,1054.0833333333335,960.0,94.08333333333348,120,934.0833333333334,0
14,953.914880952381,953.914880952381,0.0,120,833.914880952381,0
15,977.6982142857144,960.0,17.698214285714357,120,857.6982142857144,0
16,959.6464285714286,959.6464285714286,0.0,90,869.6464285714286,0
17,926.4758333333333,926.4758333333333,0.0,90,836.4758333333334,0
18,988.1732142857144,960.0,28.17321428571438,120,868.1732142857144,0
19,848.8232142857144,848.8232142857144,0.0,90,758.8232142857144,0
20,819.7815476190477,819.7815476190477,0.0,120,699.7815476190477,0
