run,op,chosen,accepted,best
1,_op_eliminate_shortage,220,98,11
1,_op_reduce_setups,1061,832,24
1,_op_aggressive_gather,2085,2085,0
1,_op_balance_workload,635,635,7
1,_op_optimize_item_pattern,102,45,13
1,_op_fill_valleys,420,420,1
1,_op_push_production_forward,99,94,3
1,_op_move_to_previous_day,378,378,0
2,_op_eliminate_shortage,196,172,9
2,_op_reduce_setups,1060,833,12
2,_op_aggressive_gather,2084,2047,0
2,_op_balance_workload,612,612,4
2,_op_optimize_item_pattern,118,29,5
2,_op_fill_valleys,415,415,0
2,_op_push_production_forward,100,94,0
2,_op_move_to_previous_day,415,415,6
3,_op_eliminate_shortage,200,17,17
3,_op_reduce_setups,1058,827,8
3,_op_aggressive_gather,2064,2064,0
3,_op_balance_workload,654,654,6
3,_op_optimize_item_pattern,108,34,4
3,_op_fill_valleys,411,411,0
3,_op_push_production_forward,103,101,0
3,_op_move_to_previous_day,402,402,4
4,_op_eliminate_shortage,213,130,24
4,_op_reduce_setups,993,802,14
4,_op_aggressive_gather,2107,2083,0
4,_op_balance_workload,648,648,6
4,_op_optimize_item_pattern,105,41,12
4,_op_fill_valleys,404,404,0
4,_op_push_production_forward,99,89,2
4,_op_move_to_previous_day,431,431,2
5,_op_eliminate_shortage,221,21,21
5,_op_reduce_setups,1060,877,10
5,_op_aggressive_gather,2057,2037,0
5,_op_balance_workload,621,621,2
5,_op_optimize_item_pattern,88,37,6
5,_op_fill_valleys,429,427,1
5,_op_push_production_forward,113,113,1
5,_op_move_to_previous_day,411,411,1
6,_op_eliminate_shortage,183,182,24
6,_op_reduce_setups,1074,832,7
6,_op_aggressive_gather,2086,2082,0
6,_op_balance_workload,580,567,5
6,_op_optimize_item_pattern,118,49,8
6,_op_fill_valleys,441,437,0
6,_op_push_production_forward,108,105,2
6,_op_move_to_previous_day,410,410,6
7,_op_eliminate_shortage,202,175,19
7,_op_reduce_setups,997,722,19
7,_op_aggressive_gather,2171,2131,0
7,_op_balance_workload,594,594,7
7,_op_optimize_item_pattern,106,39,9
7,_op_fill_valleys,421,412,1
7,_op_push_production_forward,116,92,4
7,_op_move_to_previous_day,393,393,0
8,_op_eliminate_shortage,203,160,14
8,_op_reduce_setups,1006,744,13
8,_op_aggressive_gather,2143,2054,0
8,_op_balance_workload,613,613,13
8,_op_optimize_item_pattern,103,14,3
8,_op_fill_valleys,427,427,1
8,_op_push_production_forward,81,63,0
8,_op_move_to_previous_day,424,423,5
9,_op_eliminate_shortage,193,3,3
9,_op_reduce_setups,1016,764,14
9,_op_aggressive_gather,2086,2086,1
9,_op_balance_workload,624,624,5
9,_op_optimize_item_pattern,108,8,3
9,_op_fill_valleys,411,411,0
9,_op_push_production_forward,113,98,0
9,_op_move_to_previous_day,449,449,3
10,_op_eliminate_shortage,195,191,8
10,_op_reduce_setups,1051,801,10
10,_op_aggressive_gather,2094,2086,0
10,_op_balance_workload,613,613,5
10,_op_optimize_item_pattern,119,54,8
10,_op_fill_valleys,391,391,1
10,_op_push_production_forward,100,88,1
10,_op_move_to_previous_day,437,437,0
11,_op_eliminate_shortage,199,159,13
11,_op_reduce_setups,1107,871,13
11,_op_aggressive_gather,2087,2070,0
11,_op_balance_workload,615,615,4
11,_op_optimize_item_pattern,103,30,8
11,_op_fill_valleys,408,406,0
11,_op_push_production_forward,94,88,1
11,_op_move_to_previous_day,387,387,3
12,_op_eliminate_shortage,206,206,27
12,_op_reduce_setups,1054,782,18
12,_op_aggressive_gather,2032,2032,0
12,_op_balance_workload,617,617,7
12,_op_optimize_item_pattern,108,34,6
12,_op_fill_valleys,432,425,3
12,_op_push_production_forward,118,111,1
12,_op_move_to_previous_day,433,433,4
13,_op_eliminate_shortage,215,109,3
13,_op_reduce_setups,1010,817,12
13,_op_aggressive_gather,2060,2012,0
13,_op_balance_workload,637,637,10
13,_op_optimize_item_pattern,105,43,13
13,_op_fill_valleys,421,421,1
13,_op_push_production_forward,131,128,2
13,_op_move_to_previous_day,421,414,1
14,_op_eliminate_shortage,209,142,14
14,_op_reduce_setups,981,735,11
14,_op_aggressive_gather,2133,2095,0
14,_op_balance_workload,616,616,5
14,_op_optimize_item_pattern,92,27,6
14,_op_fill_valleys,437,437,1
14,_op_push_production_forward,110,106,1
14,_op_move_to_previous_day,422,422,0
15,_op_eliminate_shortage,225,209,3
15,_op_reduce_setups,1052,821,14
15,_op_aggressive_gather,2027,1999,0
15,_op_balance_workload,613,613,1
15,_op_optimize_item_pattern,113,33,4
15,_op_fill_valleys,413,404,0
15,_op_push_production_forward,105,90,2
15,_op_move_to_previous_day,452,452,0
16,_op_eliminate_shortage,187,181,2
16,_op_reduce_setups,1113,887,11
16,_op_aggressive_gather,2033,1994,0
16,_op_balance_workload,666,666,0
16,_op_optimize_item_pattern,95,24,2
16,_op_fill_valleys,403,403,1
16,_op_push_production_forward,105,96,0
16,_op_move_to_previous_day,398,398,1
17,_op_eliminate_shortage,219,98,21
17,_op_reduce_setups,1080,841,10
17,_op_aggressive_gather,2073,2049,0
17,_op_balance_workload,601,601,4
17,_op_optimize_item_pattern,114,48,8
17,_op_fill_valleys,420,420,0
17,_op_push_production_forward,85,84,0
17,_op_move_to_previous_day,408,408,2
18,_op_eliminate_shortage,210,26,26
18,_op_reduce_setups,1095,895,3
18,_op_aggressive_gather,2129,2077,0
18,_op_balance_workload,586,586,4
18,_op_optimize_item_pattern,106,34,5
18,_op_fill_valleys,405,405,1
18,_op_push_production_forward,101,100,0
18,_op_move_to_previous_day,368,368,3
19,_op_eliminate_shortage,195,142,14
19,_op_reduce_setups,1070,897,13
19,_op_aggressive_gather,2082,2057,0
19,_op_balance_workload,657,657,2
19,_op_optimize_item_pattern,86,28,7
19,_op_fill_valleys,397,397,4
19,_op_push_production_forward,96,94,1
19,_op_move_to_previous_day,417,417,1
20,_op_eliminate_shortage,206,206,27
20,_op_reduce_setups,1030,798,7
20,_op_aggressive_gather,2085,2080,0
20,_op_balance_workload,632,632,12
20,_op_optimize_item_pattern,101,26,5
20,_op_fill_valleys,443,440,1
20,_op_push_production_forward,104,93,1
20,_op_move_to_previous_day,399,399,1
21,_op_eliminate_shortage,214,16,15
21,_op_reduce_setups,1055,840,8
21,_op_aggressive_gather,2086,2086,0
21,_op_balance_workload,643,643,4
21,_op_optimize_item_pattern,110,28,6
21,_op_fill_valleys,386,386,1
21,_op_push_production_forward,95,82,0
21,_op_move_to_previous_day,411,394,0
22,_op_eliminate_shortage,210,162,21
22,_op_reduce_setups,1075,798,15
22,_op_aggressive_gather,2070,2051,0
22,_op_balance_workload,626,626,3
22,_op_optimize_item_pattern,105,30,6
22,_op_fill_valleys,407,407,0
22,_op_push_production_forward,96,79,1
22,_op_move_to_previous_day,411,411,4
23,_op_eliminate_shortage,189,82,27
23,_op_reduce_setups,999,795,13
23,_op_aggressive_gather,2137,2042,0
23,_op_balance_workload,618,618,5
23,_op_optimize_item_pattern,114,41,8
23,_op_fill_valleys,423,423,0
23,_op_push_production_forward,96,84,0
23,_op_move_to_previous_day,424,424,2
24,_op_eliminate_shortage,206,176,26
24,_op_reduce_setups,1049,814,10
24,_op_aggressive_gather,2025,2025,0
24,_op_balance_workload,657,657,6
24,_op_optimize_item_pattern,130,40,6
24,_op_fill_valleys,413,413,1
24,_op_push_production_forward,104,99,1
24,_op_move_to_previous_day,416,416,3
25,_op_eliminate_shortage,206,16,16
25,_op_reduce_setups,1009,746,13
25,_op_aggressive_gather,2159,2087,0
25,_op_balance_workload,667,667,12
25,_op_optimize_item_pattern,96,31,11
25,_op_fill_valleys,357,357,1
25,_op_push_production_forward,96,91,1
25,_op_move_to_previous_day,410,410,6
26,_op_eliminate_shortage,186,150,25
26,_op_reduce_setups,1050,824,11
26,_op_aggressive_gather,2133,2087,0
26,_op_balance_workload,595,595,5
26,_op_optimize_item_pattern,97,33,4
26,_op_fill_valleys,416,416,0
26,_op_push_production_forward,105,95,0
26,_op_move_to_previous_day,418,418,7
27,_op_eliminate_shortage,197,22,22
27,_op_reduce_setups,1066,836,8
27,_op_aggressive_gather,2038,1963,1
27,_op_balance_workload,620,620,3
27,_op_optimize_item_pattern,113,27,5
27,_op_fill_valleys,409,409,1
